index,smiles,oxidation_potential,reduction_potential
100,c1cc(N)[nH]c1,,-6.100011443340409
101,C=C1COC(=O)OOC(=O)O1,4.743659246848037,
102,C(=O)[C@H]1COC(=O)OC(=O)O1,4.458419571403792,-4.635609588097796
103,C1=COC2(O1)OCOC(=O)O2,,
104,C(#N)C(C#N)(C=O)O,4.094426420983436,
105,C(#N)c1conc1O,,-5.750786501413532
106,C(#N)c1c(nco1)O,,-6.510739838631198
107,C#Cc1nc(no1)O,5.440595415481366,-3.3422302970188325
108,C(#N)COC(=O)C#N,3.8559449941754425,-6.540622023752294
109,c1c(C#N)onc1O,3.7572661394702296,-5.416872464108965
110,C#Cc1nc(=O)o[nH]1,3.7492472982708565,-6.205515615925324
111,c1c2c(no1)ocn2,3.5730479285235193,
112,c1c2c(co1)onn2,,
113,c1c2c(ocn2)on1,3.5717873208728266,-4.36850217312116
114,c1c2c(nco2)on1,,
115,c1c2c(nco2)no1,4.729899730111865,-4.540994764845382
116,c1c2cnoc2on1,3.7683867459150493,-3.8914286913199616
117,C(#N)C(=O)O,4.272076811847509,-4.012509383959187
118,CC(C)(C)C[C@H]1CO1,,-0.8960787244299722
119,C[C@@H]1[C@H](C(C)(C)C)O1,,
120,CCC[C@@]1(CC)CO1,4.1308187762265876,-6.4473515331223465
121,CC[C@@H](C)C[C@H]1CO1,3.697985733181267,-6.095950240277889
122,CC[C@]1(CO1)C(C)C,3.112223189379219,-6.475680991675691
123,CC[C@@H](C)[C@@]1(C)CO1,3.7017635422676536,-5.56845517639471
124,CC[C@@H]1[C@H](C(C)C)O1,3.0705097915147777,
125,CC(C)(C)[C@@]1(C)CO1,,
126,CC[C@@H]1[C@H](C)O[C@@H]1C,,
127,C[C@H]1C[C@@H](C)[C@H]1CO,,-5.939360489287938
128,CC(C)CC[C@H]1CO1,4.102813468422537,-6.425584790021676
129,C[C@H]([C@@H](C)O)C1CC1,4.067297216590814,-6.3648442787557
130,CC(C)[C@H](C1CC1)O,,
131,CC[C@H]1[C@@H](C)C[C@H]1O,4.621457486404833,-5.228299138919684
132,C[C@@H](CCO)C1CC1,3.734331163098031,-6.114354209259036
133,CCC[C@@H]1[C@H](CC)O1,,-2.928833493076527
134,CCCC[C@@H]1[C@H](C)O1,4.208208004042317,-5.59807204225348
135,C[C@H]1C[C@@H](C)[C@H]1OC,4.06062121090923,-5.369106151505039
136,C[C@H](COC)C1CC1,,
137,CCC[C@H](C1CC1)O,,-4.929653177348373
138,CCC[C@@H](C)[C@H]1CO1,,-6.489676847282172
139,CCO[C@@H](C)C1CC1,4.418316154799467,-5.6913968350467625
140,CC[C@]1(C)C(C)(C)O1,4.795592846405779,-5.4109671383625395
141,C1CCCOCCC1,,
142,CC(C)[C@@H](C)[C@H]1CO1,,
143,CC[C@H]1COC[C@H]1C,,-5.530826276782537
144,CC[C@H]1CCC[C@H]1O,,-3.8991335543573227
145,CCC[C@H]1C[C@H]1OC,,
146,CC[C@H]1C[C@H]1COC,,-4.882821685437594
147,CC[C@H]1C[C@H]1CCO,,
148,CC[C@H]1[C@@H](C)[C@H]1OC,,
149,CC[C@@H]1[C@H](C)CCO1,,
150,CC[C@H]1CCO[C@H]1C,,
151,C[C@H]1CCC[C@H]1CO,4.8980827337223305,
152,C[C@@H]1CCC[C@@H]1OC,4.809602588482957,-6.887961798314282
153,CC[C@@H]1C[C@@H]1OCC,4.485208835940793,
154,CCC[C@H]1C[C@H]1CO,3.897167146584761,
155,CC[C@H]1[C@@H](C)[C@H]1CO,4.685130868022097,
156,CC[C@H]1[C@@H](CC)[C@H]1O,4.433027268602527,-6.291948145060306
157,C(CCO)CC1CC1,4.597898309752563,-5.323812540090731
158,CCOCCC1CC1,4.273742094403642,-6.424869731662912
159,CC[C@H](C1CC1)OC,4.542838024880038,-6.457025667473718
160,CC[C@H]1CO[C@H]1CC,3.3135137388276776,-5.120551043718879
161,CC[C@H]1CC[C@H]1CO,4.989806622050819,-5.209082433876975
162,C[C@H](C1CCCC1)O,,
163,CCC(CC)[C@H]1CO1,3.5736389646650055,
164,CC[C@H]1CCCCO1,4.788561947935304,-6.433552848927721
165,CC[C@H]1CCCOC1,,
166,C[C@@H]1[C@H](C)[C@@H]1[C@@H](C)O,,-6.335697761292468
167,CC[C@H]1CC[C@H]1OC,4.5199926851497,-6.464510243238183
168,CCCCCCC=O,4.195983261538058,
169,CC(C)[C@H]1[C@@H](C)[C@H]1O,4.617333626073159,-5.8635424315938875
170,CCCOCC1CC1,4.481219554587878,-6.330173177447651
171,CCCCOC1CC1,,-5.924871789583849
172,CCCCC[C@H]1CO1,5.8511396151794175,-5.514801745065998
173,C1CCC(CC1)CO,4.408988186955466,-6.362278619893405
174,COC1CCCCC1,5.220918457802836,-6.36320636310069
175,CCC1CCOCC1,4.53465228801775,-5.221595782465957
176,COCCCC1CC1,,
177,CC[C@@H](CO)C1CC1,,
178,CC(C)[C@H]1CCOC1,4.689733162642878,-4.644205890520825
179,CC(C)[C@H]1CCCO1,4.730082826205543,-4.072514974524384
180,CC(C)[C@@H]1C[C@@H]1OC,5.173360900320913,-4.560777186564738
181,CC[C@H]1C[C@H]1[C@@H](C)O,6.546041024758378,-3.502628752399178
182,CC(C)[C@H]1C[C@H]1CO,3.729485045233159,
183,C[C@H]1C[C@H]1CCCO,4.899185376973546,-6.353098934188384
184,C[C@@H]1C[C@@H]1[C@@H](C)CO,,
185,CC(C)[C@H]1CC[C@H]1O,3.8392096192861205,-6.303947961675877
186,C[C@H]1[C@@H](C)[C@H]1CCO,3.9965776436570737,-6.440573098461246
187,C[C@@H]1C[C@@H]1CCOC,4.225510497403374,-5.128457019679845
188,CCCO[C@H]1C[C@H]1C,5.631011590689522,-5.2098942240949695
189,CCCC[C@H]1C[C@H]1O,5.114552908264668,-4.115108628041926
190,C[C@@H]1C[C@@H]1[C@H](C)OC,4.486454878130243,
191,CC[C@@H](C)[C@H]1C[C@H]1O,4.126741404323693,-4.066797884382541
192,CC[C@@H](C)[C@@H]1[C@H](C)O1,1.0683510769600248,-1.6590123492455318
193,COCCC1CCC1,4.348721610300854,-4.2405245949934764
194,CC(C)[C@@H]1[C@H](C)CO1,1.4742694504871539,-2.3035668975457524
195,C[C@H]1[C@@H](C)[C@H]1COC,0.07886822332016852,-0.908165670378767
196,CCO[C@H]1[C@@H](C)[C@H]1C,2.4833075670181275,-3.4420947436441933
197,CCOC[C@H]1C[C@H]1C,,
198,CCC[C@H]1CCCO1,4.827560075772053,-3.799078602474256
199,COCC1CCCC1,,
200,CC[C@H]([C@H]1C[C@H]1C)O,,
201,CCC[C@H]1[C@@H](C)[C@H]1O,,
202,C1CCC(C1)CCO,,
203,C[C@@H]1CC[C@@H]1[C@@H](C)O,-0.14127723529822145,-2.541732800995706
204,CC(C)[C@H]1CO[C@H]1C,,-0.5568225291658022
205,CCOC1CCCC1,3.571965736234742,-1.9786204460073717
206,CCC[C@H]1CCOC1,-0.13817519132720957,-2.228509541477652
207,CC[C@H](C1CCC1)O,,
208,CC[C@@H](C)[C@H]1CCO1,,
209,CCC[C@H]1CO[C@H]1C,,-1.8579452785247126
210,CCC[C@@H]1[C@H](C)CO1,1.6764749297331578,-3.1167943714530706
211,C1CCCC(CC1)O,,-0.8552314060884241
212,C[C@H]1CCCOCC1,-0.06379973845054376,-2.1181962963550545
213,C[C@H]1CCCCCO1,1.7124903715635442,-2.1670547264579367
214,CCOCC1CCC1,2.1570103468271187,0.3386662291673561
